street	clause	restriction	side	from_point	to_point	extent	schedule	source_text	notes
Crescent Avenue	3	two-hour limit	east	Centre Street	Norwood Avenue		except Saturdays, Sundays and Holidays; 6:00 a.m. to 8:00 p.m.	Crescent Avenue (3) Two-hour limit, 6:00 a.m. to 8:00 p.m., except Saturdays, Sundays and Holidays. a) East side, from Centre Street to a point 160 feet westerly. b) East side, from a point 385 feet west of Centre Street to Norwood Avenue. c) West side, from Norwood Avenue to Beacon Street.	has lettered sub-clauses
Crescent Square	1	prohibited	both				all days	Crescent Square (1) Prohibited, all days, both sides.	
Crosby Road	1	one-hour limit	west		Commonwealth Avenue		8:00 a.m. to 3:00 p.m.	Crosby Road (1) One-hour limit, 8:00 a.m. to 3:00 p.m.: a) West side from 50 feet north of Hammond Street to Commonwealth Avenue.	has lettered sub-clauses
Crosby Road	2	prohibited	east			entire length	all days	Crosby Road (2) Prohibited, all days, east side, entire length.	
Crystal Street	1	prohibited	both	Lake Avenue	Newbury Street		all times	Crystal Street (1) Prohibited, all times, Lake Avenue to Newbury Street, including both sides of the island.	
Crystal Street	2	prohibited	east	Newbury Street	Beacon Street			Crystal Street (2) Prohibited, between Memorial Day and Labor Day, East side, Newbury Street and Beacon Street.	
Cummings Road	1	prohibited	both	Homer Street			all days	Cummings Road (1) Prohibited, all days, both sides from Homer Street southerly 200 feet.	
Curtis Street	1	one-hour limit	north	Winchester Street			all days	Curtis Street (1) One-hour limit, all days, north side from Winchester Street westerly 100 feet.	
Curve Street	1	prohibited	south	Prospect Street	Auburn Street		all days	Curve Street (1) Prohibited, all days, south side from Prospect Street to Auburn Street.	
Curve Street	2	parking prohibited	northwest				all days	Curve Street (2) Parking prohibited all days, northwest side, from a point 300 feet southwest of Prospect Street, 25 feet southwesterly.	
Cushing Street	1	prohibited	east	Centre Street	Allerton Road		all days	Cushing Street (1) Prohibited, all days, east side, from Centre Street to Allerton Road.	
Cushing Street	2	two-hour limit	west	Centre Street	Allerton Road		7:00 a.m. to 10:00 p.m.	Cushing Street (2) Two-hour limit, 7:00 a.m. to 10:00 p.m., west side, from Centre Street to Allerton Road.	
Cypress Street	1	prohibited	both/east/west	Centre Street			all times; all days	Cypress Street (1) Prohibited, all times, all days, (a) Centre Street to Parker Street, both sides; (b) from Parker Street, southerly 313 feet, east side; (c) from Parker Street, southerly 935 feet, west side.	has lettered sub-clauses
Cypress Street	2	prohibited	west					Cypress Street (2) Prohibited, from a point 130 feet south of Bow Road northerly 40 feet, west side.	
Cypress Street	3	prohibited	west	Jackson Street			8:00 a.m. to 4:00 p.m.	Cypress Street (3) Prohibited, 8:00 a.m. to 4:00 p.m., from Jackson Street to a point 130 feet south of Bow Road, west side.	
Dalby Street	1	prohibited	west	Watertown Street	California Street		all days	Dalby Street (1) Prohibited, all days, west side from Watertown Street to California Street.	
Dalby Street	2	one-hour limit	east	Watertown Street	California Street		7:00 a.m. to 7:00 p.m.	Dalby Street (2) One-hour limit, 7:00 a.m. to 7:00 p.m.: a) East side from Watertown Street, northerly 94 feet. b) East side, from a point 116 feet north of Watertown Street to California Street.	has lettered sub-clauses
Dalby Street	3	prohibited	east				second Tuesday of every month; 9:00 a.m. to 1:00 p.m.	Dalby Street (3) Prohibited 9:00 a.m. to 1:00 p.m., east side, second Tuesday of every month.	
Dale Street	1	prohibited	east				all days	Dale Street (1) Prohibited, east side, all days.	
Dalton Road	1	prohibited	both			entire length	including Saturdays; 8:00 a.m. to 5:00 p.m.	Dalton Road (1) Prohibited, 8:00 a.m. to 5:00 p.m., both sides, including Saturdays, entire length.	
Daniel Street	1	prohibited	south	Parker Street	Jackson Street		all days	Daniel Street (1) Prohibited, all days, south side, from Parker Street to Jackson Street.	
Davis Avenue	1	prohibited	west	Watertown Street	Furbush Avenue		all days	Davis Avenue (1) Prohibited, all days, west side, Watertown Street to Furbush Avenue.	
Davis Court	1	prohibited	both			entire length	all days	Davis Court (1) Prohibited, all days, both sides, entire length.	
Davis Street	1	prohibited	north	Highland Street	Chestnut Street		all days	Davis Street (1) Prohibited, all days, north side, from Highland Street to Chestnut Street.	
Davis Street	2	reserved for newton police	south	Chestnut Street				Davis Street (2) Reserved for Newton Police, south side, from Chestnut Street, westerly 160 feet.	
Dedham Street	1	prohibited	south	Winchester Street	Upland Avenue			Dedham Street (1) Prohibited, south side, from Winchester Street to Upland Avenue.	
Dedham Street	2	prohibited	south	Andrew Street	a point 65 feet easterly			Dedham Street (2) Prohibited, south side, from Andrew Street to a point 65 feet easterly.	
Dedham Street	3	prohibited	south	Walnut Street	a point 188 feet westerly		all days	Dedham Street (3) Prohibited, all days, south side, from Walnut Street to a point 188 feet westerly.	
Dedham Street	4	prohibited	north	Walnut Street	a point 118 feet westerly		school days; 7:00 a.m. to 4:00 p.m.	Dedham Street (4) Prohibited, school days, 7:00 a.m. to 4:00 p.m., north side, from Walnut Street to a point 118 feet westerly.	
Dedham Street	5	prohibited	east	Brookline Street	a point 210 feet southerly		7:00 a.m. to 9:00 a.m.; 4:00 p.m. to 6:00 p.m.	Dedham Street (5) Prohibited, 7:00 a.m. to 9:00 a.m. and 4:00 p.m. to 6:00 p.m., east side, from Brookline Street to a point 210 feet southerly.	
Deforest Road	1	one-hour limit	both	Grove Street	Crehore Drive			Deforest Road (1) One-hour limit, both sides, from Grove Street to Crehore Drive.	
Derby Street	1	prohibited	north	Cherry Street	a point 165 feet west of Cherry Street		all days	Derby Street (1) Prohibited, all days, Cherry Street to a point 165 feet west of Cherry Street, north side.	
Derby Street	2	accessible parking only	north	a point 410 feet west of Cherry Street	westerly 20 feet			Derby Street (2) Accessible Parking only, from a point 410 feet west of Cherry Street, westerly 20 feet, north side.	
Derby Street	3	prohibited	north	a point 430 feet west of Cherry Street	westerly 110 feet		all days	Derby Street (3) Prohibited, all days, from a point 430 feet west of Cherry Street, westerly 110 feet, north side.	
Derby Street	4	prohibited	north	a point 540 feet west of Cherry Street	westerly 155 feet		school days; 8:00 am to 4:00 p.m.	Derby Street (4) Prohibited, 8:00 am to 4:00 p.m., School Days, from a point 540 feet west of Cherry Street, westerly 155 feet, north side.	
Derby Street	5	prohibited	north	Parmenter Street	westerly 175 feet		all days	Derby Street (5) Prohibited, all days, from Parmenter Street westerly 175 feet, north side.	
Derby Street	6	prohibited	south	Sheridan Street	easterly 175 feet		all days	Derby Street (6) Prohibited, all days, from Sheridan Street easterly 175 feet, south side.	
Derby Street	7	prohibited	south	Pershing Road	a point 545 feet easterly		school days; 8:00 a.m. to 4:00 p.m.	Derby Street (7) Prohibited, 8:00 a.m. to 4:00 p.m., School Days, from Pershing Road to a point 545 feet easterly, south side.	
Derby Street	8	prohibited	south	a point 545 feet east of Pershing Road	Waltham Street		all days	Derby Street (8) Prohibited, all days, from a point 545 feet east of Pershing Road to Waltham Street, south side.	
Devon Road	1	two-hour limit	east				Saturdays included; 8:00 a.m. to 2:45 p.m.; 3:30 p.m. to 10:00 p.m.	Devon Road (1) Two-hour limit, 8:00 a.m. to 2:45 p.m. and 3:30 p.m. to 10:00 p.m., Saturdays included, east side.	
Devon Road	2	prohibited	east				Saturdays included; 2:45 p.m. to 3:30 p.m.	Devon Road (2) Prohibited, 2:45 p.m. to 3:30 p.m., Saturdays included, east side.	
Devon Road	3	prohibited	west				Saturdays included	Devon Road (3) Prohibited, Saturdays included, west side.	
Dexter Road	1	prohibited	west	Hull Street	Walnut Street			Dexter Road (1) Prohibited, west side, between Hull Street and Walnut Street.	
Dexter Road	2	resident permit only	east	Hull Street	Walnut Street		all days	Dexter Road (2) Parking by Newtonville Resident Parking Permit only, all days, all hours, east side, between Hull Street and Walnut Street (three non-resident Newtonville parking permits allowed).	permit: Newtonville Resident Parking Permit; three non-resident Newtonville parking permits allowed
Dexter Road	3	two-hour limit	both	Walnut Street	a point 190 feet easterly		school days; 8:00 a.m. to 4:00 p.m.	Dexter Road (3) Two-hour limit, 8:00 a.m. to 4:00 p.m., school days, both sides, from Walnut Street to a point 190 feet easterly, except by Newtonville Resident parking permit.	except by Newtonville Resident parking permit
Dexter Road	4	prohibited	both	a point 190 feet east of Walnut Street	305 feet easterly			Dexter Road (4) Prohibited, both sides, from a point 190 feet east of Walnut Street, 305 feet easterly.	
Dexter Road	5	two-hour limit	both	a point 495 feet east of Walnut Street	Bullough Park		school days; 8:00 a.m. to 4:00 p.m.	Dexter Road (5) Two-hour limit, 8:00 a.m. to 4:00 p.m., school days, both sides, from a point 495 feet east of Walnut Street to Bullough Park, except by Newtonville parking permit.	except by Newtonville parking permit
Dickerman Road	1	two-hour limit	both			entire length	including Saturdays; 7:00 a.m. to 10:00 p.m.	Dickerman Road (1) Two-hour limit, 7:00 a.m. to 10:00 p.m., including Saturdays, both sides, entire length.	
Dolphin Road	1	prohibited					school days; 8:00 a.m. to 4:00 p.m.	Dolphin Road (1) Prohibited, school days, 8:00 a.m. to 4:00 p.m. a) West side, from Mandalay Road to Fellsmere Road. b) East side, from a point 405 feet north of Mandalay Road, northerly 170 feet.	has lettered sub-clauses
Dolphin Road	2	live parking only	south	a point 320 feet east of Mandalay Road	easterly 85 feet		school days; 8:00 a.m. to 4:00 p.m.	Dolphin Road (2) Live parking only, school days, 8:00 a.m. to 4:00 p.m., south side, from a point 320 feet east of Mandalay Road, easterly 85 feet.	
Dorset Road	1	no parking	east	Beacon Street	a point 190 feet northerly		any time	Dorset Road (1) No parking, any time, east side, from Beacon Street to a point 190 feet northerly.	
Dorset Road	2	two-hour limit					Monday through Friday; 9:00 a.m. to 5:00 p.m.	Dorset Road (2) Two-hour limit, 9:00 a.m. to 5:00 p.m., Monday through Friday, except Holidays, except by Waban Permit. a) East side, from a point 190 feet north of Beacon Street, 310 feet northerly. b) North side, from a point 500 feet north of Beacon Street to Locke Road.	has lettered sub-clauses; except by Waban Permit
Dorset Road	3	no parking					Monday through Friday; 9:00 a.m. to 5:00 p.m.	Dorset Road (3) No parking, 9:00 a.m. to 5:00 p.m., Monday through Friday. a) West side, from Beacon Street to a point 500 feet northerly. b) South side, from a point 500 feet north of Beacon Street, to Locke Road.	has lettered sub-clauses
Duncklee Street	1	prohibited					all days; 7:00 a.m. to 9:00 a.m.	Duncklee Street (1) Prohibited, all days: a) North side, from Walnut Street to Manchester Road. b) South side, 7:00 a.m. to 9:00 a.m. from Walnut Street to Manchester Road.	has lettered sub-clauses
Duncklee Street	2	prohibited	south	Manchester Road	Beverly Road		7:00 a.m. to 8:00 p.m.	Duncklee Street (2) Prohibited, south side, 7:00 a.m. to 8:00 p.m., from Manchester Road to Beverly Road.	
Dunstan Street	1	prohibited	west				all days; 7:00 a.m. to 7:00 p.m.	Dunstan Street (1) Prohibited, all days, 7:00 a.m. to 7:00 p.m., west side.	
Dunstan Street	2	prohibited	east	Watertown Street	southerly 100 feet		all days	Dunstan Street (2) Prohibited, all days, east side, from Watertown Street southerly 100 feet.	
Dunstan Street	3	two-hour limit	east	a point 100 feet south of Watertown Street	end of accepted portion		Saturdays included; 7:00 a.m. to 10:00 p.m.	Dunstan Street (3) Two-hour limit, Saturdays included, 7:00 a.m. to 10:00 p.m., east side from a point 100 feet south of Watertown Street to end of accepted portion.	
Dunstan Street	4	prohibited	east	Washington Street	northerly 100 feet		all days	Dunstan Street (4) Prohibited, all days, east side, from Washington Street northerly 100 feet.	
Dunster Road	1	prohibited	east				all days	Dunster Road (1) Prohibited, all days, east side.	
Dunster Road	2	two-hour limit	west				Saturdays included; 7:00 a.m. to 10:00 p.m.	Dunster Road (2) Two-hour limit, Saturdays included, 7:00 a.m. to 10:00 p.m., west side.	
East Boulevard Road	1	prohibited	east			entire length	all days	East Boulevard Road (1) All days, east side, entire length.	"restriction inferred from context (bare ""all days"" clause)"
East Side Parkway	1	prohibited	both	Newtonville Avenue	a point 150 feet southerly		all times; all days, all times; all days	East Side Parkway (1) Prohibited, all days, all times, Newtonville Avenue to a point 150 feet southerly, both sides, both legs.	both legs
East Side Parkway	2	prohibited	west	Newtonville Avenue	a point 70 feet south of Winchester Road		all times; all days, all times; all days	East Side Parkway (2) Prohibited, all days, all times, Newtonville Avenue to a point 70 feet south of Winchester Road, west side.	
East Side Parkway	3	prohibited	west	a point 210 feet south of Winchester Road	50 feet southerly		all times; all days, all times; all days	East Side Parkway (3) Prohibited, all days, all times, from a point 210 feet south of Winchester Road, 50 feet southerly, west side.	
East Side Parkway	4	prohibited	west	a point 40 feet north of Cabot Street	Cabot Street		all times; all days, all times; all days	East Side Parkway (4) Prohibited, all days, all times, from a point 40 feet north of Cabot Street to Cabot Street, west side.	
East Side Parkway	5	prohibited	east	Cabot Street	Winchester Road		all times; all days, all times; all days	East Side Parkway (5) Prohibited, all days, all times, from Cabot Street to Winchester Road, east side.	
Eden Avenue	1	live parking only	west	a point 350 feet north of Watertown Street	Watertown Street			Eden Avenue (1) Live parking only, west side, from a point 350 feet north of Watertown Street to Watertown Street.	
Edinboro Street	1	prohibited	west	Watertown Street	northerly 260 feet			Edinboro Street (1) Prohibited, west side, from Watertown Street northerly 260 feet.	
Edinboro Terrace	1	prohibited	south	Edinboro Street	easterly 140 feet		all days	Edinboro Terrace (1) Prohibited, all days, south side, from Edinboro Street easterly 140 feet.	
Eldredge Street	1	prohibited	east	Franklin Street	Church Street		4:30 p.m. to 6:30 p.m.	Eldredge Street (1) Prohibited, 4:30 p.m. to 6:30 p.m., except by Resident Permit as listed in TPR-202, Franklin Street to Church Street, east side.	except by Resident Permit; see TPR-202
Eldredge Street	2	prohibited	east	Church Street	Vernon Street		except Saturdays, Sundays and Holidays	Eldredge Street (2) Prohibited except Saturdays, Sundays and Holidays, Church Street to Vernon Street, east side.	
Eldredge Street	3	prohibited	east	Elmwood Street	a point 30 feet south of Elmwood Street		all times	Eldredge Street (3) Prohibited, all times, Elmwood Street to a point 30 feet south of Elmwood Street, east side.	
Eldredge Street	4	prohibited	east	a point 30 feet south of Elmwood Street	a point 145 feet south of Elmwood Street		4:30 p.m. to 6:30 p.m.	Eldredge Street (4) Prohibited, 4:30 p.m. to 6:30 p.m., from a point 30 feet south of Elmwood Street to a point 145 feet south of Elmwood Street, east side.	
Eldredge Street	5	prohibited	east	a point 145 feet south of Elmwood Street	a point 210 feet south of Elmwood Street		7:00 a.m. to 6:00 p.m.	Eldredge Street (5) Prohibited, 7:00 a.m. to 6:00 p.m., from a point 145 feet south of Elmwood Street to a point 210 feet south of Elmwood Street, east side.	
Eldredge Street	6	prohibited	east	a point 210 feet south of Elmwood Street	Vernon Street		4:30 p.m. to 6:30 p.m.	Eldredge Street (6) Prohibited, 4:30 p.m. to 6:30 p.m., from a point 210 feet south of Elmwood Street to Vernon Street, east side.	
Eldredge Street	7	prohibited	west	Elmwood Street	a point 50 feet south of Elmwood Street		all times	Eldredge Street (7) Prohibited, all times, Elmwood Street to a point 50 feet south of Elmwood Street, west side.	
Eldredge Street	8	3-hour limit	west	a point 50 feet south of Elmwood Street	a point 140 feet south of Elmwood Street		7:00 a.m. to 7:00 p.m.	Eldredge Street (8) 3-hour limit, 7:00 a.m. to 7:00 p.m., from a point 50 feet south of Elmwood Street to a point 140 feet south of Elmwood Street, west side.	
Eldredge Street	9	prohibited	west	a point 140 feet south of Elmwood Street	a point 230 feet south of Elmwood Street		4:30 p.m. to 6:30 p.m.	Eldredge Street (9) Prohibited, 4:30 p.m. to 6:30 p.m., from a point 140 feet south of Elmwood Street to a point 230 feet south of Elmwood Street, west side.	
Eldredge Street	10	no parking bus stop	west	a point 230 feet south of Elmwood Street	Vernon Street			Eldredge Street (10) No Parking Bus Stop, from a point 230 feet south of Elmwood Street to Vernon Street, west side.	
Eldredge Street	11	prohibited	west	Vernon Street	Church Street		4:30 p.m. to 6:30 p.m.	Eldredge Street (11) Prohibited, 4:30 p.m. to 6:30 p.m., Vernon Street to Church Street, west side.	
Eldredge Street	12	prohibited	west	Church Street	Franklin Street		all times	Eldredge Street (12) Prohibited, all times, Church Street to Franklin Street, west side.	
Elgin Street	1	prohibited	both	Langley Road	easterly 40 feet			Elgin Street (1) Prohibited, both sides, from Langley Road easterly 40 feet.	
Elgin Street	2	two-hour limit	both	a point 40 feet easterly of Langley Road	end of Elgin Street		Saturdays included; 7:00 a.m. to 5:00 p.m.	Elgin Street (2) Two-hour limit, both sides, 7:00 a.m. to 5:00 p.m., Saturdays included, from a point 40 feet easterly of Langley Road easterly to the end of Elgin Street.	
Elliot Street	1	prohibited					all days	Elliot Street (1) Prohibited all days: a) North side from Chestnut Street to Needham line. b) North side from Cottage Street westerly 100 feet. c) Both sides from Boylston Street (Route 9) southerly to Josselyn Place.	has lettered sub-clauses
Elliot Street	2	prohibited					Saturdays included	Elliot Street (2) Prohibited, Saturdays included: a) South side from Oak Street westerly 150 feet. b) South side from Chestnut Street to the Needham line.	has lettered sub-clauses
Elliot Street	3	one-hour limit					all days	Elliot Street (3) One-hour limit, all days: a) North side, from a point 60 feet east of Pettee Street easterly 40 feet. b) South side, from Chestnut Street to Hale Street.	has lettered sub-clauses
Elliot Street	4	15-minute limit	north	Pettee Street	easterly 60 feet		all days	Elliot Street (4) Fifteen minute limit, all days, north side, from Pettee Street easterly 60 feet.	
Ellis Street	1	prohibited	west	a point 50 feet north of Chestnut Street	northerly 125 feet		Saturdays included	Ellis Street (1) Prohibited, Saturdays included, west side from a point 50 feet north of Chestnut Street northerly 125 feet.	
Elm Road	1	resident permit only					school days; 7:00 a.m. to 4:00 p.m.	Elm Road (1) Tiger Permit Parking only, for faculty, staff and abutting residents, school days, 7:00 a.m. to 4:00 p.m., and unrestricted on non-school days. a) From a point 50 feet east of Lowell Ave to a point 325 feet east of Lowell Ave, south side. b) From a point 440 feet east of Lowell Ave to a point 520 feet east of Lowell Ave, south side. c) From a point 540 feet east of Lowell Ave to a point 620 feet east of Lowell Ave, south side. d) From a point 890 feet east of Lowell Ave to a point 1145 feet east of Lowell Ave, south side. e) From a point 215 feet west of Walnut St to a point 715 feet west of Walnut St, north side.	has lettered sub-clauses; Tiger Permit (faculty/staff/abutting residents); overall street is tow zone all times both sides except exceptions
Elm Road	2	bus parking only					all times; all days, all times; all days	Elm Road (2) Bus Parking only, all days, all times, from a point 710 feet east of Lowell Avenue to a point 790 feet east of Lowell Avenue.	
Elm Road	3	resident permit only	both				school days; 8:00 a.m. to 4:00 p.m.	Elm Road (3) Parking by Newtonville Resident parking permit only, 8:00 a.m. to 4:00 p.m., school days, section connected to and east of Blithedale Street, both sides (one non-resident Newtonville parking permit allowed).	permit: Newtonville Resident parking permit; one non-resident Newtonville parking permit allowed
Elm Street	1	prohibited	east	Washington Street	a point 50 feet northerly		all days	Elm Street (1) Prohibited, all days, from Washington Street to a point 50 feet northerly, east side.	
Elm Street	2	parking meter zone	east	a point 50 feet north of Washington Street	320 feet northerly		8:00 a.m. to 6:00 p.m.	Elm Street (2) Parking meter zone, two-hour limit, 8:00 a.m. to 6:00 p.m., from a point 50 feet north of Washington Street, 320 feet northerly, east side.	two-hour limit
Elm Street	3	prohibited	east	a point 90 feet south of Webster Street	River Street		all days	Elm Street (3) Prohibited, all days, from a point 90 feet south of Webster Street to River Street, east side.	
Elm Street	4	prohibited	west	River Street	southerly 100 feet		all days	Elm Street (4) Prohibited, all days, from River Street southerly 100 feet, west side.	
Elm Street	5	prohibited	west	a point 100 feet north of the northern curbline of Webster Street	a point 30 feet south of the southern curbline of Webster Street		all days	Elm Street (5) Prohibited, all days, from a point 100 feet north of the northern curbline of Webster Street to a point 30 feet south of the southern curbline of Webster Street, west side.	
Elm Street	6	20-minute limit	west	a point 105 feet south of Webster Street	20 feet southerly		11:00 a.m. to 9:00 p.m.	Elm Street (6) 20-minute limit, 11:00 a.m. to 9:00 p.m., except Sundays & Holidays, from a point 105 feet south of Webster Street, 20 feet southerly, west side.	
Elm Street	7	accessible parking only	west	a point 150 feet south of Webster Street	20 feet southerly			Elm Street (7) Accessible Parking only, from a point 150 feet south of Webster Street, 20 feet southerly, west side.	
Elm Street	8	parking meter zone	west	a point 170 feet south of Webster Street	Border Street		8:00 a.m. to 6:00 p.m.	Elm Street (8) Parking meter zone, two-hour limit, 8:00 a.m. to 6:00 p.m., from a point 170 feet south of Webster Street to Border Street, west side.	two-hour limit
Elm Street	9	prohibited	west	Border Street	a point 25 feet southerly		all days	Elm Street (9) Prohibited, all days, from Border Street to a point 25 feet southerly, west side.	
Elm Street	10	parking meter zone	west	a point 25 feet south of Border Street	a point 150 feet south of Border Street		8:00 a.m. to 6:00 p.m.	Elm Street (10) Parking meter zone, two-hour limit, 8:00 a.m. to 6:00 p.m., from a point 25 feet south of Border Street to a point 150 feet south of Border Street. west side.	two-hour limit
Elm Street	11	prohibited	west	a point 150 feet south of Border Street	Washington Street		all days	Elm Street (11) Prohibited, all days, from a point 150 feet south of Border Street to Washington Street, west side.	
Elmhurst Road	1	two-hour limit	both			entire length	7:00 a.m. to 6:00 p.m.	Elmhurst Road (1) Two-hour limit, 7:00 a.m. to 6:00 p.m., both sides, entire length.	
Elmore Street	1	prohibited	south	Morseland Avenue	easterly 200 feet		all days	Elmore Street (1) Prohibited, all days, south side from Morseland Avenue easterly 200 feet.	
Elmwood Park	1	two-hour limit	both				school days; 8:00 a.m. to 4:00 p.m.	Elmwood Park (1) Two-hour limit 8:00 a.m. to 4:00 p.m., school days, both sides, except by Newtonville Resident parking permit.	except by Newtonville Resident parking permit
Elmwood Street	1	prohibited	south				all days	Elmwood Street (1) Prohibited, all days, south side.	
Elmwood Street	2	one-hour limit	north	Park Street	31 Elmwood Street		7:00 a.m. to 7:00 p.m.	Elmwood Street (2) One-hour limit, 7:00 a.m. to 7:00 p.m., north side, Park Street to 31 Elmwood Street.	
Emerson Street	1	prohibited	west				all days	Emerson Street (1) Prohibited, all days, west side.	
Emerson Street	2	two-hour limit	east				all days	Emerson Street (2) Two-hour limit, all days, east side.	
Erie Avenue	1	prohibited	north	Hartford Street	Woodward Street		all days	Erie Avenue (1) Prohibited, all days, north side, from Hartford Street to Woodward Street.	
Erie Avenue	2	two-hour limit	south	Hartford Street	Woodward Street		8:00 a.m. to 6:00 p.m.	Erie Avenue (2) Two-hour limit, 8:00 a.m. to 6:00 p.m., south side, from Hartford Street to Woodward Street, except by Newton Highlands Permit.	except by Newton Highlands Permit
Evelyn Road	1	no parking	west	Beacon Street	a point 110 feet northerly		any time	Evelyn Road (1) No parking, any time, west side, from Beacon Street to a point 110 feet northerly.	
Evelyn Road	2	prohibited	west	a point 110 feet north of Beacon Street	Paulson Road		school days; 8:00 a.m. to 4:00 p.m.	Evelyn Road (2) Prohibited, school days, 8:00 a.m. to 4:00 p.m., west side, from a point 110 feet north of Beacon Street to Paulson Road.	
Everett Street	1	prohibited	south	Sumner Street	Dalton Road		all days	Everett Street (1) Prohibited, all days, south side, from Sumner Street to Dalton Road.	
Everett Street	2	prohibited	both	Gibbs Street	Grant Avenue		all days	Everett Street (2) Prohibited, all days, both sides, between Gibbs Street and Grant Avenue.	
Everett Street	3	two-hour limit	north	Sumner Street	Dalton Road		all days	Everett Street (3) Two-hour limit, all days, north side, from Sumner Street to Dalton Road.	
Executive Park Drive	1	prohibited	both				all days	Executive Park Drive (1) Prohibited, both sides, all days.	
Fairfield Street	1	two-hour limit	both				school days; 8:00 a.m. to 4:00 p.m.	Fairfield Street (1) Two-hour limit, 8:00 a.m. to 4:00 p.m., school days, both sides, except by Newtonville Resident parking permit.	except by Newtonville Resident parking permit
Fairview Street	1	no parking	north	Willard Street	a point 290 feet westerly			Fairview Street (1) No Parking, north side, from Willard Street to a point 290' westerly.	
Farquhar Road	1	two-hour limit	north	Harvard Street	easterly 350 feet		Saturdays included; 7:00 a.m. to 7:00 p.m.	Farquhar Road (1) Two-hour limit, Saturdays included, 7:00 a.m. to 7:00 p.m., north side from Harvard Street easterly 350 feet.	
Farquhar Road	2	two-hour limit	south				7:00 a.m. to 9:00 a.m.	Farquhar Road (2) Two-hour limit, 7:00 a.m. to 9:00 a.m., south side.	
Farwell Street	1	prohibited		a point 170 feet west of Farwell Circle	North Street (southerly intersection)		all days	Farwell Street (1) Prohibited, all days, south and west side from a point 170 feet west of Farwell Circle to North Street (southerly intersection).	"side noted as ""south and west side"" in source"
Faxon Street	1	prohibited	west	Watertown Street	75 feet		all days	Faxon Street (1) Prohibited, all days, west side from Watertown Street 75 feet.	
Faxon Street	2	prohibited	east	a point 30 feet north of Watertown Street	northerly 45 feet		all days	Faxon Street (2) Prohibited, all days, east side, from a point 30 feet north of Watertown Street northerly 45 feet.	
Faxon Street	3	15-minute limit	east	a point 30 feet north of Watertown Street	northerly 45 feet		all days	Faxon Street (3) Fifteen-minute limit, all days, east side, from a point 30 feet north of Watertown Street northerly 45 feet.	
Faxon Street	4	prohibited	east	California Street	intersection of Jasset Street		all days	Faxon Street (4) Prohibited, all days, east side, from California Street southerly to the intersection of Jasset Street.	
Faxon Street	5	prohibited	west				second Tuesday of every month; 9:00 a.m. to 1:00 p.m.	Faxon Street (5) Prohibited 9:00 a.m. to 1:00 p.m., west side, second Tuesday of every month.	
Faxon Street	6	prohibited	east	Watertown	Jasset Street		second Tuesday of every month; 9:00 a.m. to 1:00 p.m.	Faxon Street (6) Prohibited 9:00 a.m. to 1:00 p.m., east sides, Watertown to Jasset Street, second Tuesday of every month.	
Fellsmere Road	1	prohibited	south	Dolphin Road	Mandalay Road		school days; 8:00 a.m. to 4:00 p.m.	Fellsmere Road (1) Prohibited, 8:00 a.m. to 4:00 p.m., school days, south side, from Dolphin Road to Mandalay Road.	
Fern Street	1	prohibited	south				all days	Fern Street (1) Prohibited, all days, south side.	
Fern Street	2	two-hour limit	north				9:00 a.m. to 5:00 p.m.	Fern Street (2) Two-hour limit 9:00 a.m. to 5:00 p.m., north side except by Auburndale Permit.	except by Auburndale Permit
Fisher Avenue	1	prohibited	west	Duncklee Street	Lakewood Road		all days; 7:00 a.m. to 9:00 a.m.	Fisher Avenue (1) Prohibited, all days, west side, 7:00 a.m. to 9:00 a.m., from Duncklee Street to Lakewood Road.	
Fisher Avenue	2	prohibited	east	Duncklee Street	Lakewood Road		7:00 a.m. to 9:00 a.m.	Fisher Avenue (2) Prohibited, east side, 7:00 a.m. to 9:00 a.m., from Duncklee Street to Lakewood Road.	
Floral Street	1	prohibited	south	Walnut Street	Route 9		Saturdays included	Floral Street (1) Prohibited, Saturdays included, south side from Walnut Street to Route 9.	
Floral Street	2	prohibited					Saturdays included; 7:00 a.m. to 7:00 p.m.	Floral Street (2) Prohibited, Saturdays included, 7:00 a.m. to 7:00 p.m.: a) North side from Walnut Street to Hyde Street. b) South side from Walnut Street easterly 58 feet.	has lettered sub-clauses
Floral Street	3	two-hour limit	north	Walnut Street	Route 9		Saturdays included; 7:00 a.m. to 6:00 p.m.	Floral Street (3) Two-hour limit, Saturdays included, 7:00 a.m. to 6:00 p.m., north side from Walnut Street to Route 9.	
Florence Street	1	prohibited					all days	Florence Street (1) Prohibited, all days: a) North side, from Boylston Street easterly 199 feet. b) North side, from a point 428 feet east of Boylston Street easterly 28 feet. c) North side, from a point 564 feet east of Boylston Street easterly 126 feet. d) South side from Boylston Street to a point 100 feet easterly. e) South side, from a point 185 feet east of Boylston Street to Louise Road.	has lettered sub-clauses
Forest Avenue (Auburndale)	1	prohibited	both				all days	Forest Avenue (Auburndale) (1) Prohibited, all days, both sides.	
Forest Avenue (West Newton)	1	two-hour limit	both	Highland Street	Otis Street		school days; 8:00 a.m. to 4:00 p.m.	Forest Avenue (West Newton) (1) Two-hour limit, 8:00 a.m. to 4:00 p.m., school days, both sides, Highland Street to Otis Street, except by Newtonville Resident parking permit.	except by Newtonville Resident parking permit
